timestamp,price,returns,ma7,ma14,volatility,rsi,date,sentiment,volatility_next_day,high_volatility
2025-04-27,94644.06637120107,-0.0013616270744124526,91856.68903429214,88098.19206667991,0.005524092710468191,91.38229866782748,2025-04-27,0.0,0.009260237317482066,0
2025-04-28,93809.33781968223,-0.008819660687918618,93104.71365873519,88827.3719037611,0.009260237317482066,83.51029444175012,2025-04-28,0.0,0.011100485509235982,0
2025-04-29,95030.60645474444,0.01301862547425392,94187.36501074399,89577.8829011361,0.011100485509235982,85.4809553413433,2025-04-29,0.0,0.012418809621944823,0
2025-04-30,94256.35946318062,-0.008147343476467617,94284.53552180696,90335.01625646469,0.012418809621944823,79.03247215068353,2025-04-30,0.0,0.010693358888366204,0
2025-05-01,94235.75331048167,-0.00021861816875068385,94374.57852205691,91058.58581995116,0.010693358888366204,78.86195901668904,2025-05-01,0.0,0.016328294450252037,1
2025-05-02,96426.94522273027,0.023252235327595905,94739.4543783508,91879.7312947169,0.016328294450252037,83.04983943410271,2025-05-02,0.0,0.012425383233932838,0
2025-05-03,96855.5681343944,0.004445053306148861,95036.94811091639,92767.0040063055,0.012425383233932838,83.72892640074733,2025-05-03,0.0,0.016497675593838492,1
2025-05-04,95922.86842404422,-0.009629799590416765,95219.6341184654,93538.16157637877,0.016497675593838492,76.54261522772501,2025-05-04,0.0,0.010738384534264424,0
2025-05-05,94326.62048529249,-0.016640952934134923,95293.53164212403,94199.1226504296,0.010738384534264424,66.0882443745028,2025-05-05,0.0,0.010813141972610185,0
2025-05-06,94758.8237105546,0.004581985690131907,95254.70553581117,94721.03527327758,0.010813141972610185,67.38708700484506,2025-05-06,0.0,0.019407826934026668,1
2025-05-07,96854.53198815876,0.022116233565811383,95625.87303937948,94955.20428059323,0.019407826934026668,72.8226118617062,2025-05-07,0.0,0.011023257963336672,0
2025-05-08,97026.49376966801,0.0017754644824494736,96024.55024783468,95199.5643849458,0.011023257963336672,73.2170653904644,2025-05-08,0.0,0.030827885185699146,1
2025-05-09,103076.27555512934,0.0623518541216479,96974.45458103456,95856.95447969266,0.030827885185699146,82.71952824880417,2025-05-09,0.0,0.03583377611755342,1
2025-05-10,102962.54045692299,-0.0011034071380034982,97846.87919853862,96441.9136547275,0.03583377611755342,82.12957570337386,2025-05-10,0.0,0.032801875021619686,1
2025-05-11,104630.8792994166,0.016203357406392005,99090.88075216326,97155.25743531433,0.032801875021619686,83.93905853641819,2025-05-11,0.0,0.011698885897224637,0
2025-05-12,103994.061616746,-0.006086326397470643,100471.94377094232,97882.73770653317,0.011698885897224637,80.58486126040063,2025-05-12,0.0,0.014402747192486002,1
2025-05-13,102876.8304286011,-0.010743221014506421,101631.65901637754,98443.18227609435,0.014402747192486002,74.92793046776339,2025-05-13,0.0,0.01241719593712002,0
2025-05-14,104184.49039270742,0.01271092780228944,102678.79593131306,99152.33448534626,0.01241719593712002,76.96606134668315,2025-05-14,0.0,0.01233912670342294,0
2025-05-15,103594.42575090709,-0.005663651466510711,103617.07192863293,99820.81108823381,0.01233912670342294,74.04120325006755,2025-05-15,0.0,0.009292843874218623,0
2025-05-16,103708.85136423641,0.0011045537682159434,103707.43990136252,100340.94724119853,0.009292843874218623,74.2455959515285,2025-05-16,0.0,0.0034159500417606952,0
2025-05-17,103556.03493982446,-0.0014735138071797493,103792.2248274913,100819.55201301495,0.0034159500417606952,73.41422941693274,2025-05-17,0.0,0.0022217170368054443,0
2025-05-18,103212.36483885496,-0.00331868732874141,103589.57990455392,101340.23032835858,0.0022217170368054443,71.47585530008259,2025-05-18,0.0,0.017173069602689852,1
2025-05-19,106030.6376831359,0.027305573791290394,103880.51934260961,102176.23155677597,0.017173069602689852,76.86935913519943,2025-05-19,0.0,0.017816774126679664,1
2025-05-20,105629.41580436694,-0.003784018351072893,104273.7458248619,102952.70242061971,0.017816774126679664,74.7037163488587,2025-05-20,0.0,0.015551733998663234,1
2025-05-21,106786.71995834043,0.010956267675633846,104645.4929056666,103662.14441848981,0.015551733998663234,76.73936455022246,2025-05-21,0.0,0.015377160051215462,1
2025-05-22,109665.86371625263,0.026961627429285207,105512.84118643023,104564.95655753158,0.015377160051215462,80.86487607041389,2025-05-22,0.0,0.008061510637296742,0
2025-05-23,111560.356938144,0.01727514066540481,106634.48483984561,105170.96237060407,0.008061510637296742,83.0012951665683,2025-05-23,0.0,0.03558080340858604,1
2025-05-24,107216.66856870624,-0.0389357697362529,107157.43250111445,105474.82866430287,0.03558080340858604,65.06434758941336,2025-05-24,0.0,0.029687820321262062,1
2025-05-25,107831.36374380375,0.005733205324353063,107817.2894875357,105703.4346960448,0.029687820321262062,66.17824609788329,2025-05-25,0.0,0.026961060332113464,1
2025-05-26,108861.81037744327,0.009556093866045723,108221.74272957961,106051.13103609462,0.026961060332113464,68.01909401740912,2025-05-26,0.0,0.0025431736195968076,0
2025-05-27,109377.71513263129,0.004739079328180296,108757.2140621888,106515.47994352535,0.0025431736195968076,68.93085254026121,2025-05-27,0.0,0.006242428529545457,0
2025-05-28,109068.45694901445,-0.00282743320466905,109083.17648942795,106864.33469754727,0.006242428529545457,67.68513741596018,2025-05-28,0.0,0.00801353151670555,0
2025-05-29,107838.18431100152,-0.011279820696354359,108822.07943153495,107167.4603089826,0.00801353151670555,62.82132281524712,2025-05-29,0.0,0.008290094172232506,0
2025-05-30,105745.41660358038,-0.019406555486743637,107991.3736694544,107312.92925465001,0.008290094172232506,55.513520204887165,2025-05-30,0.0,0.00410914276022825,0
